year,date,cpi_new_vehicles,cpi_all_items
1993,1993-12-01,135.6,146.3
1994,1994-01-01,136.1,146.3
1994,1994-02-01,136.5,146.7
1994,1994-03-01,136.8,147.1
1994,1994-04-01,136.9,147.2
1994,1994-05-01,137.2,147.5
1994,1994-06-01,137.4,147.9
1994,1994-07-01,137.4,148.4
1994,1994-08-01,137.3,149
1994,1994-09-01,137.5,149.3
1994,1994-10-01,138.4,149.4
1994,1994-11-01,139.4,149.8
1994,1994-12-01,140.1,150.1
1995,1995-01-01,140.6,150.5
1995,1995-02-01,140.7,150.9
1995,1995-03-01,140.7,151.2
1995,1995-04-01,141.1,151.8
1995,1995-05-01,141.1,152.1
1995,1995-06-01,141,152.4
1995,1995-07-01,140.3,152.6
1995,1995-08-01,140,152.9
1995,1995-09-01,140,153.1
1995,1995-10-01,140.9,153.5
1995,1995-11-01,142.2,153.7
1995,1995-12-01,142.8,153.9
1996,1996-01-01,143.2,154.7
1996,1996-02-01,143.5,155
1996,1996-03-01,143.6,155.5
1996,1996-04-01,143.5,156.1
1996,1996-05-01,143.4,156.4
1996,1996-06-01,143.5,156.7
1996,1996-07-01,143.2,157
1996,1996-08-01,142.9,157.2
1996,1996-09-01,143.2,157.7
1996,1996-10-01,143.8,158.2
1996,1996-11-01,144.8,158.7
1996,1996-12-01,145.4,159.1
1997,1997-01-01,145.4,159.4
1997,1997-02-01,145.4,159.7
1997,1997-03-01,145.4,159.8
1997,1997-04-01,145.2,159.9
1997,1997-05-01,144.6,159.9
1997,1997-06-01,144.2,160.2
1997,1997-07-01,143.7,160.4
1997,1997-08-01,143,160.8
1997,1997-09-01,142.7,161.2
1997,1997-10-01,143.3,161.5
1997,1997-11-01,144,161.7
1997,1997-12-01,144.1,161.8
1998,1998-01-01,144.4,162
1998,1998-02-01,144.4,162
1998,1998-03-01,144.4,162
1998,1998-04-01,144.3,162.2
1998,1998-05-01,143.3,162.6
1998,1998-06-01,142.6,162.8
1998,1998-07-01,142.7,163.2
1998,1998-08-01,142.8,163.4
1998,1998-09-01,142.3,163.5
1998,1998-10-01,142.5,163.9
1998,1998-11-01,143.5,164.1
1998,1998-12-01,144.1,164.4
1999,1999-01-01,144.4,164.7
1999,1999-02-01,143.8,164.7
1999,1999-03-01,143.4,164.8
1999,1999-04-01,143.3,165.9
1999,1999-05-01,142.9,166
1999,1999-06-01,142.5,166
1999,1999-07-01,142,166.7
1999,1999-08-01,141.4,167.1
1999,1999-09-01,141.6,167.8
